ROLL;PITCH; YAW;ACC X;ACC Y;ACC Z;GYRO X;GYRO Y;GYRO Z;TEMPERATUR;PRESSURE;ALTITUDE;
6;1;-82;-1840;-300;15140;36;2;94;29.80;100.76;152.49;
6;1;-82;-1840;-300;15140;36;2;94;29.80;100.76;152.49;
7;1;-82;-1972;-312;15232;34;20;110;29.80;100.76;154.69;
7;1;-82;-1972;-312;15232;34;20;110;29.80;100.76;154.69;
7;1;-82;-1972;-312;15232;34;20;110;29.80;100.76;154.69;
7;1;-82;-1972;-312;15232;34;20;110;29.80;100.76;154.69;
7;1;-82;-1972;-312;15232;34;20;110;29.80;100.76;154.69;
7;1;-82;-1972;-312;15232;34;20;110;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
ROLL;PITCH; YAW;ACC X;ACC Y;ACC Z;GYRO X;GYRO Y;GYRO Z;TEMPERATUR;PRESSURE;ALTITUDE;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
7;1;-82;-1976;-356;15360;57;27;136;29.80;100.76;154.69;
